
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   EXT        , Exterior                               ,            40.300  ,   Steel Railings                 ,         16.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   EXT        , Exterior                               ,            40.400  ,   Exterior Steel                 ,         80.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   EXT        , Exterior                               ,            40.600  ,   Lintels                        ,        365.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZA       , Floor 1 Zone A                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         41.43
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZA       , Floor 1 Zone A                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         31.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZA       , Floor 1 Zone A                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         54.25

NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZA       , Floor 1 Zone A                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         12.64
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZA       , Floor 1 Zone A                         ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          6.47
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZA       , Floor 1 Zone A                         ,            24.110  ,   CMU Walls - Blockfiller        ,        151.90
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZA       , Floor 1 Zone A                         ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         43.40
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZA       , Floor 1 Zone A                         ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         75.95
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZA       , Floor 1 Zone A                         ,            26.110  ,   Floor Sealer                   ,           .17
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZA       , Floor 1 Zone A                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         32.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZA       , Floor 1 Zone A                         ,            34.110  ,   Trim - 1st Coat Prime          ,         70.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZA       , Floor 1 Zone A                         ,            34.120  ,   Trim - 2nd Coat Finish         ,         70.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZA       , Floor 1 Zone A                         ,            34.130  ,   Trim - 3rd Coat Finish         ,         70.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZB       , Floor 1 Zone B                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         40.10
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZB       , Floor 1 Zone B                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         33.42
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZB       , Floor 1 Zone B                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         58.48
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZB       , Floor 1 Zone B                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          2.68
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZB       , Floor 1 Zone B                         ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          6.22
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZB       , Floor 1 Zone B                         ,            24.110  ,   CMU Walls - Blockfiller        ,         27.09
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZB       , Floor 1 Zone B                         ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,          7.74
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZB       , Floor 1 Zone B                         ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         13.54
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZB       , Floor 1 Zone B                         ,            26.110  ,   Floor Sealer                   ,           .07
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZB       , Floor 1 Zone B                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         32.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZC       , Floor 1 Zone C                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         28.69
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZC       , Floor 1 Zone C                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         22.25
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZC       , Floor 1 Zone C                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         38.93
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZC       , Floor 1 Zone C                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          6.55
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZC       , Floor 1 Zone C                         ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          2.95
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZC       , Floor 1 Zone C                         ,            24.110  ,   CMU Walls - Blockfiller        ,         57.94
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZC       , Floor 1 Zone C                         ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         16.55
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZC       , Floor 1 Zone C                         ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         28.97
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZC       , Floor 1 Zone C                         ,            26.110  ,   Floor Sealer                   ,           .20
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZC       , Floor 1 Zone C                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         32.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F1ZC       , Floor 1 Zone C                         ,            50.500  ,   AESS Steel                     ,        160.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         41.42
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         32.95
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         57.67
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         12.64
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          6.47
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            24.110  ,   CMU Walls - Blockfiller        ,         82.93
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         23.69
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         41.46
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            26.110  ,   Floor Sealer                   ,           .08
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZA       , Floor 2 Zone A                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         18.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         20.33
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         17.08
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         29.89
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,           .96
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         33.31
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            24.110  ,   CMU Walls - Blockfiller        ,         29.25
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,          8.36
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         14.62
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            26.110  ,   Floor Sealer                   ,           .08
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZB       , Floor 2 Zone B                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         18.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,          6.39
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            21.120  ,   Walls - 2nd Coat Finish        ,          4.05
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            21.130  ,   Walls - 3rd Coat Finish        ,          7.08
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          4.01
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         15.18
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            24.110  ,   CMU Walls - Blockfiller        ,         29.25
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,          8.36
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         14.62
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            26.110  ,   Floor Sealer                   ,          2.07

NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F2ZC       , Floor 2 Zone C                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         18.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         37.98
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         29.99
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         52.49
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          7.16
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         13.62
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            24.110  ,   CMU Walls - Blockfiller        ,         67.22
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         19.21
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         33.61
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            26.110  ,   Floor Sealer                   ,          1.60
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZA       , Floor 3 Zone A                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         20.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZB       , Floor 3 Zone B                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         15.52
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZB       , Floor 3 Zone B                         ,            21.120  ,   Walls - 2nd Coat Finish        ,          9.98
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZB       , Floor 3 Zone B                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         17.47
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZB       , Floor 3 Zone B                         ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          9.31
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZB       , Floor 3 Zone B                         ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,          2.06
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZB       , Floor 3 Zone B                         ,            24.110  ,   CMU Walls - Blockfiller        ,         30.81
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZB       , Floor 3 Zone B                         ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,          8.80
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZB       , Floor 3 Zone B                         ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         15.40
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZB       , Floor 3 Zone B                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         20.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZC       , Floor 3 Zone C                         ,            20.110  ,   Walls/DW Ceiling - Prime       ,         12.35
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZC       , Floor 3 Zone C                         ,            21.120  ,   Walls - 2nd Coat Finish        ,         10.58
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZC       , Floor 3 Zone C                         ,            21.130  ,   Walls - 3rd Coat Finish        ,         18.52
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZC       , Floor 3 Zone C                         ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         11.62
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   F3ZC       , Floor 3 Zone C                         ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         10.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,         12.65
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            21.120  ,   Walls - 2nd Coat Finish        ,          8.53
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            21.130  ,   Walls - 3rd Coat Finish        ,         14.93
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          6.46
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         17.74
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            24.110  ,   CMU Walls - Blockfiller        ,        164.62
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            24.120  ,   CMU Walls - 2nd Coat Finish    ,         47.03
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            24.130  ,   CMU Walls - 3rd Coat Finish    ,         82.31
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            26.110  ,   Floor Sealer                   ,          6.23
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01A      , Gound Zone A                           ,            28.110  ,   Doors/Frames 1st/2nd Coat      ,         37.00
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01C      , Gound Zone C                           ,            20.110  ,   Walls/DW Ceiling - Prime       ,          8.23
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01C      , Gound Zone C                           ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         19.74
NL:      019.19.3  ,  Eliot-Hine Middle School                           ,01, =    , 01, = ,   G-01C      , Gound Zone C                           ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         17.00
